,0,1
445,2021-06-19,Juneteenth National Independence Day
446,2021-06-18,Juneteenth National Independence Day (Observed)
447,2021-07-04,Independence Day
448,2021-07-05,Independence Day (Observed)
449,2021-09-06,Labor Day
450,2021-10-11,Columbus Day
451,2021-11-11,Veterans Day
452,2021-11-25,Thanksgiving
453,2021-12-25,Christmas Day
454,2021-12-24,Christmas Day (Observed)
455,2021-01-01,New Year's Day
456,2021-01-02,New Year Holiday [Scotland]
457,2021-01-04,New Year Holiday [Scotland] (Observed)
458,2021-03-17,St. Patrick's Day [Northern Ireland]
459,2021-07-12,Battle of the Boyne [Northern Ireland]
460,2021-08-02,Summer Bank Holiday [Scotland]
461,2021-11-30,St. Andrew's Day [Scotland]
462,2021-12-25,Christmas Day
463,2021-12-27,Christmas Day (Observed)
464,2021-04-02,Good Friday
465,2021-04-05,Easter Monday [England/Wales/Northern Ireland]
466,2021-05-03,May Day
467,2021-05-31,Spring Bank Holiday
468,2021-08-30,Late Summer Bank Holiday [England/Wales/Northern Ireland]
469,2021-12-26,Boxing Day
470,2021-12-28,Boxing Day (Observed)
471,2021-01-01,Jour de l'an
472,2021-05-01,Fête du Travail
473,2021-05-08,Armistice 1945
474,2021-07-14,Fête nationale
475,2021-11-11,Armistice 1918
476,2021-04-05,Lundi de Pâques
477,2021-05-24,Lundi de Pentecôte
478,2021-05-13,Ascension
479,2021-08-15,Assomption
480,2021-11-01,Toussaint
481,2021-12-25,Noël
482,2022-01-01,New Year's Day
483,2022-01-17,Martin Luther King Jr. Day
484,2022-02-21,Washington's Birthday
485,2022-05-30,Memorial Day
486,2022-06-19,Juneteenth National Independence Day
487,2022-06-20,Juneteenth National Independence Day (Observed)
488,2022-07-04,Independence Day
489,2022-09-05,Labor Day
490,2022-10-10,Columbus Day
491,2022-11-11,Veterans Day
492,2022-11-24,Thanksgiving
493,2022-12-25,Christmas Day
494,2022-12-26,Christmas Day (Observed)
495,2022-06-03,Platinum Jubilee of Elizabeth II
496,2022-09-19,State Funeral of Queen Elizabeth II
497,2022-01-01,New Year's Day
498,2022-01-03,New Year's Day (Observed)
499,2022-01-02,New Year Holiday [Scotland]
500,2022-01-04,New Year Holiday [Scotland] (Observed)
501,2022-03-17,St. Patrick's Day [Northern Ireland]
502,2022-07-12,Battle of the Boyne [Northern Ireland]
503,2022-08-01,Summer Bank Holiday [Scotland]
504,2022-11-30,St. Andrew's Day [Scotland]
505,2022-12-25,Christmas Day
506,2022-12-27,Christmas Day (Observed)
507,2022-04-15,Good Friday
508,2022-04-18,Easter Monday [England/Wales/Northern Ireland]
509,2022-05-02,May Day
510,2022-06-02,Spring Bank Holiday
511,2022-08-29,Late Summer Bank Holiday [England/Wales/Northern Ireland]
512,2022-12-26,Boxing Day
513,2022-01-01,Jour de l'an
514,2022-05-01,Fête du Travail
515,2022-05-08,Armistice 1945
516,2022-07-14,Fête nationale
517,2022-11-11,Armistice 1918
518,2022-04-18,Lundi de Pâques
519,2022-06-06,Lundi de Pentecôte
520,2022-05-26,Ascension
521,2022-08-15,Assomption
522,2022-11-01,Toussaint
523,2022-12-25,Noël
